3:Start of One Benchmark
58:Start of One Benchmark
371:Start of One Benchmark
390:Start of One Benchmark
5962:Memsweep time in seconds: 5.300
5964:Memsweep time in seconds: 5.290
5966:Memsweep time in seconds: 5.320
5968:Memsweep time in seconds: 5.270
5970:Memsweep time in seconds: 5.250
5972:Memsweep time in seconds: 5.280
5974:Memsweep time in seconds: 5.280
5976:Memsweep time in seconds: 5.270
5978:Memsweep time in seconds: 5.290
5980:Memsweep time in seconds: 5.290
5982:Memsweep time in seconds: 5.250
5984:Memsweep time in seconds: 5.310
5986:Memsweep time in seconds: 5.280
5988:Memsweep time in seconds: 5.270
5990:Memsweep time in seconds: 5.250
5992:Memsweep time in seconds: 5.260
5994:Memsweep time in seconds: 5.250
5996:Memsweep time in seconds: 5.230
5998:Memsweep time in seconds: 5.250
6000:Memsweep time in seconds: 5.260
6002:Memsweep time in seconds: 5.270
6004:Memsweep time in seconds: 5.260
6006:Memsweep time in seconds: 5.260
6008:Memsweep time in seconds: 5.270
6010:Memsweep time in seconds: 5.260
6012:Memsweep time in seconds: 5.210
6014:Memsweep time in seconds: 5.260
6016:Memsweep time in seconds: 5.270
6018:Memsweep time in seconds: 5.280
6020:Memsweep time in seconds: 5.270
6022:Memsweep time in seconds: 5.260
6024:Memsweep time in seconds: 5.260
6026:Memsweep time in seconds: 5.290
6028:Memsweep time in seconds: 5.280
6030:Memsweep time in seconds: 5.280
6032:Memsweep time in seconds: 5.270
6034:Memsweep time in seconds: 5.280
6036:Memsweep time in seconds: 5.240
6038:Memsweep time in seconds: 5.210
6040:Memsweep time in seconds: 5.200
6042:Memsweep time in seconds: 5.250
6044:Memsweep time in seconds: 5.240
6046:Memsweep time in seconds: 5.260
6048:Memsweep time in seconds: 5.240
6050:Memsweep time in seconds: 5.240
6052:Memsweep time in seconds: 5.270
6054:Memsweep time in seconds: 5.260
6056:Memsweep time in seconds: 5.310
6058:Memsweep time in seconds: 5.240
6060:Memsweep time in seconds: 5.290
